date,open,high,low,close,volume,Adj Close
2016-04-12,3227.367,3232.264,3198.903,3218.45,92869440.0,3218.45
2016-04-11,3213.507,3251.572,3213.507,3230.096,125212712.0,3230.096
2016-04-08,3189.846,3197.774,3163.305,3185.726,101005624.0,3185.726
2016-04-07,3266.288,3270.82,3208.644,3209.29,112409464.0,3209.29
2016-04-06,3250.522,3267.64,3236.196,3257.528,120196304.0,3257.528
2016-04-05,3211.305,3271.93,3205.207,3264.486,146047776.0,3264.486
2016-04-01,3213.674,3222.612,3165.856,3221.895,118122136.0,3221.895
2016-03-31,3229.2,3241.927,3208.665,3218.088,121552072.0,3218.088
2016-03-30,3161.289,3216.676,3161.289,3216.275,117802512.0,3216.275
2016-03-29,3171.314,3178.075,3122.761,3135.41,97294744.0,3135.41
2016-03-28,3206.953,3229.624,3161.878,3169.728,103441936.0,3169.728
2016-03-25,3176.81,3204.442,3174.318,3197.817,97395328.0,3197.817
2016-03-24,3211.496,3221.906,3181.813,3181.851,133131120.0,3181.851
2016-03-23,3217.729,3242.247,3202.976,3236.092,125679288.0,3236.092
2016-03-22,3231.615,3249.677,3218.728,3225.79,161020896.0,3225.79
2016-03-21,3203.293,3267.775,3198.361,3249.437,233269472.0,3249.437
2016-03-18,3136.223,3197.668,3130.102,3171.963,197302560.0,3171.963
2016-03-17,3096.808,3147.841,3077.572,3124.204,121661776.0,3124.204
2016-03-16,3068.866,3100.352,3064.521,3090.033,124736448.0,3090.033
2016-03-15,3061.343,3077.085,3028.578,3074.78,98311944.0,3074.78
2016-03-14,3039.569,3106.8,3034.0,3065.69,117108656.0,3065.69
2016-03-11,2990.214,3026.437,2982.172,3018.284,73333568.0,3018.284
2016-03-10,3056.21,3074.16,3012.691,3013.146,76072200.0,3013.146
2016-03-09,3045.924,3072.916,3020.134,3071.907,111466248.0,3071.907
2016-03-08,3100.149,3109.25,3001.829,3107.673,136235744.0,3107.673
2016-03-07,3108.999,3130.903,3083.584,3104.84,132462040.0,3104.84
2016-03-04,3047.537,3101.656,3032.424,3093.89,219172528.0,3093.89
2016-03-03,3050.389,3078.444,3040.246,3058.422,173105744.0,3058.422
2016-03-02,2933.921,3054.724,2933.116,3051.333,175972352.0,3051.333
2016-03-01,2881.335,2950.436,2863.323,2930.694,116045920.0,2930.694
2016-02-29,2939.58,2939.875,2821.215,2877.467,129341024.0,2877.467
2016-02-26,2942.095,2964.385,2902.948,2948.031,106949728.0,2948.031
2016-02-25,3104.41,3104.436,2905.457,2918.75,157829760.0,2918.75
2016-02-24,3077.606,3109.545,3055.251,3109.545,111782648.0,3109.545
2016-02-23,3117.203,3119.221,3061.429,3089.363,112567392.0,3089.363
2016-02-22,3083.933,3128.207,3071.329,3118.868,140946976.0,3118.868
2016-02-19,3047.942,3065.968,3032.634,3051.585,87338016.0,3051.585
2016-02-18,3079.527,3093.513,3049.841,3053.699,124401464.0,3053.699
2016-02-17,3034.09,3065.785,3027.046,3063.32,128291608.0,3063.32
2016-02-16,2962.187,3042.089,2962.187,3037.035,112579640.0,3037.035
2016-02-15,2888.428,2961.493,2886.018,2946.707,72919432.0,2946.707
2016-02-05,2982.056,2988.36,2962.847,2963.789,76850808.0,2963.789
2016-02-04,2960.334,2999.206,2960.207,2984.76,91779728.0,2984.76
2016-02-03,2931.288,2954.71,2909.898,2948.639,77389000.0,2948.639
2016-02-02,2901.528,2972.426,2901.512,2961.334,88601960.0,2961.334
2016-02-01,2939.04,2944.517,2869.561,2901.048,86795344.0,2901.048
2016-01-29,2855.598,2965.309,2854.371,2946.09,113304256.0,2946.09
2016-01-28,2909.334,2941.887,2841.844,2853.756,99222752.0,2853.756
2016-01-27,2953.183,2963.544,2839.29,2930.352,132229368.0,2930.352
2016-01-26,3099.596,3106.53,2934.647,2940.509,126933920.0,2940.509
2016-01-25,3129.028,3149.332,3105.1,3128.886,81540064.0,3128.886
2016-01-22,3114.895,3132.171,3053.958,3113.463,89951088.0,3113.463
2016-01-21,3136.384,3202.538,3081.345,3081.345,111189736.0,3081.345
2016-01-20,3204.218,3225.95,3154.426,3174.378,130650504.0,3174.378
2016-01-19,3132.705,3227.908,3119.216,3223.125,127653896.0,3223.125
2016-01-18,3068.235,3165.616,3066.727,3130.729,101128384.0,3130.729
2016-01-15,3200.888,3216.798,3101.052,3118.73,124601776.0,3118.73
2016-01-14,3076.645,3226.658,3072.039,3221.571,134537664.0,3221.571
2016-01-13,3240.484,3257.295,3155.879,3155.879,120666496.0,3155.879
2016-01-12,3214.823,3242.253,3174.55,3215.71,128225792.0,3215.71
2016-01-11,3303.125,3342.481,3192.45,3192.45,174638384.0,3192.45
2016-01-08,3371.871,3418.851,3237.931,3361.563,185959456.0,3361.563
2016-01-07,3481.15,3481.15,3284.737,3294.384,44102640.0,3294.384
2016-01-06,3482.406,3543.739,3468.467,3539.808,145966144.0,3539.808
