datetime,000402,cash,commission,total,returns,equity_curve,drawdown
2013-09-17,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-18,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-23,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-24,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-25,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-26,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-27,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-09-30,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-08,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-09,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-10,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-11,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-14,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-15,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-16,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-17,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-18,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-21,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-22,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-23,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-24,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-25,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-28,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-29,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-30,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-10-31,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-11-01,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-11-04,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-11-05,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-11-06,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-11-07,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
2013-11-08,0.0,99912.8,18.2,99912.8,0.0,0.999128,0.015451
