datetime,000300.SH,000300.SH_position,000300.SH_price,cash,commission,order,total,returns,equity_curve,000300.SH_return,drawdown
2008-08-19,0.0,0.0,2348.47,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,0.0151595054898,1.41661089407
2008-08-20,0.0,0.0,2532.94,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,0.0785490127615,1.41661089407
2008-08-21,0.0,0.0,2443.98,225426.462974,0.0,SELL,225426.462974,0.0,2.25426462974,-0.0351212425087,1.41661089407
2008-08-22,221824.681636,92.2374795257,2404.93,-0.0922374795482,0.0,BUY,221824.589398,-0.0159780423645,2.21824589398,-0.0159780358268,1.45262962983
2008-08-25,221420.681475,92.2374795257,2400.55,-0.0922374795482,0.0,BUY,221420.589238,-0.00182125958812,2.21420589238,-0.00182125883082,1.45666963143
2008-08-26,215054.450639,92.2374795257,2331.53,-0.0922374795482,0.0,BUY,215054.358401,-0.0287517563691,2.15054358401,-0.0287517443919,1.5203319398
2008-08-27,214478.888766,92.2374795257,2325.29,-0.0922374795482,0.0,BUY,214478.796529,-0.00267635530161,2.14478796529,-0.00267635415371,1.52608755852
2008-08-28,215453.838925,92.2374795257,2335.86,-0.0922374795482,0.0,BUY,215453.746687,0.00454567152728,2.15453746687,0.0045456695724,1.51633805694
2008-08-29,220598.845533,92.2374795257,2391.64,-0.0922374795482,0.0,BUY,220598.753295,0.0238798660364,2.20598753295,0.0238798558133,1.46488799086
2008-09-01,212992.020596,92.2374795257,2309.17,-0.0922374795482,0.0,BUY,212991.928359,-0.0344826288583,2.12991928359,-0.0344826144403,1.54095624022
2008-09-02,210800.458083,92.2374795257,2285.41,-0.0922374795482,0.0,BUY,210800.365845,-0.0102894158028,2.10800365845,-0.0102894113469,1.56287186536
2008-09-03,0.0,0.0,2245.96,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,-0.0172616729602,1.56287186536
2008-09-04,0.0,0.0,2251.15,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,0.00231081586493,1.56287186536
2008-09-05,0.0,0.0,2183.43,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,-0.0300824023277,1.56287186536
2008-09-08,0.0,0.0,2126.52,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,-0.0260644948544,1.56287186536
2008-09-09,0.0,0.0,2139.14,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,0.00593457856028,1.56287186536
2008-09-10,0.0,0.0,2143.18,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,0.00188860944118,1.56287186536
2008-09-11,0.0,0.0,2072.13,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,-0.0331516718148,1.56287186536
2008-09-12,0.0,0.0,2077.85,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,0.0027604445667,1.56287186536
2008-09-16,0.0,0.0,2000.65,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,-0.037153788772,1.56287186536
2008-09-17,0.0,0.0,1929.13,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,-0.0357483817759,1.56287186536
2008-09-18,0.0,0.0,1895.99,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,-0.017178728235,1.56287186536
2008-09-19,0.0,0.0,2073.11,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,0.0934182142311,1.56287186536
2008-09-22,0.0,0.0,2207.61,210800.365845,0.0,SELL,210800.365845,0.0,2.10800365845,0.0648783711429,1.56287186536
2008-09-23,202766.589116,95.4878732629,2123.48,0.381951493066,0.0,BUY,202766.971068,-0.0381090172467,2.02766971068,-0.0381090862969,1.64320581313
2008-09-24,204234.237728,95.4878732629,2138.85,0.381951493066,0.0,BUY,204234.61968,0.00723810492568,2.0423461968,0.0072381185601,1.62852932701
2008-09-25,212320.150836,95.4878732629,2223.53,0.381951493066,0.0,BUY,212320.532788,0.0395912951515,2.12320532788,0.0395913691937,1.54767019593
2008-09-26,214242.321725,95.4878732629,2243.66,0.381951493066,0.0,BUY,214242.703676,0.00905315592206,2.14242703676,0.00905317220816,1.52844848705
2008-10-06,203265.035815,95.4878732629,2128.7,0.381951493066,0.0,BUY,203265.417766,-0.0512376184669,2.03265417766,-0.0512377098134,1.63822134615
2008-10-07,200758.479141,95.4878732629,2102.45,0.381951493066,0.0,BUY,200758.861093,-0.0123314467394,2.00758861093,-0.0123314699112,1.66328691288
2008-10-08,193160.509066,95.4878732629,2022.88,0.381951493066,0.0,BUY,193160.891017,-0.0378462501439,1.93160891017,-0.037846322148,1.73926661364
2008-10-09,190526.953521,95.4878732629,1995.3,0.381951493066,0.0,BUY,190527.335473,-0.0136339997746,1.90527335473,-0.0136340267342,1.76560216908
2008-10-10,182091.554797,95.4878732629,1906.96,0.381951493066,0.0,BUY,182091.936749,-0.0442739552469,1.82091936749,-0.0442740440034,1.84995615632
2008-10-13,0.0,0.0,1985.49,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.0411807274405,1.84995615632
2008-10-14,0.0,0.0,1934.62,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0256208794806,1.84995615632
2008-10-15,0.0,0.0,1914.36,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0104723408215,1.84995615632
2008-10-16,0.0,0.0,1820.9,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0488204935331,1.84995615632
2008-10-17,0.0,0.0,1833.26,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.00678785216102,1.84995615632
2008-10-20,0.0,0.0,1896.73,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.0346213848554,1.84995615632
2008-10-21,0.0,0.0,1881.41,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.00807705893828,1.84995615632
2008-10-22,0.0,0.0,1833.32,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0255606167715,1.84995615632
2008-10-23,0.0,0.0,1834.78,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.000796369428141,1.84995615632
2008-10-24,0.0,0.0,1781.6,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0289844013996,1.84995615632
2008-10-27,0.0,0.0,1654.67,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.071244948361,1.84995615632
2008-10-28,0.0,0.0,1705.82,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.0309125082343,1.84995615632
2008-10-29,0.0,0.0,1658.22,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0279044682323,1.84995615632
2008-10-30,0.0,0.0,1697.66,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.023784540049,1.84995615632
2008-10-31,0.0,0.0,1663.66,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0200275673574,1.84995615632
2008-11-03,0.0,0.0,1653.54,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.00608297368453,1.84995615632
2008-11-04,0.0,0.0,1627.76,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0155907930863,1.84995615632
2008-11-05,0.0,0.0,1691.42,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.0391089595518,1.84995615632
2008-11-06,0.0,0.0,1649.78,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,-0.0246183679985,1.84995615632
2008-11-07,0.0,0.0,1677.83,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.0170022669689,1.84995615632
2008-11-10,0.0,0.0,1801.66,182091.936749,0.0,SELL,182091.936749,0.0,1.82091936749,0.0738036630648,1.84995615632
2008-11-11,180039.736825,101.068698537,1781.36,0.505343492667,0.0,BUY,180040.242169,-0.011267355474,1.80040242169,-0.0112673867433,1.87047310213
2008-11-12,182107.602397,101.068698537,1801.82,0.505343492667,0.0,BUY,182108.107741,0.0114855742647,1.82108107741,0.0114856065029,1.8497944464
2008-11-13,189410.826553,101.068698537,1874.08,0.505343492667,0.0,BUY,189411.331897,0.0401037836638,1.89411331897,0.0401038949507,1.77676220484
2008-11-14,196442.175911,101.068698537,1943.65,0.505343492667,0.0,BUY,196442.681254,0.0371221155924,1.96442681254,0.0371222146333,1.70644871127
2008-11-17,200845.739106,101.068698537,1987.22,0.505343492667,0.0,BUY,200846.244449,0.0224165296825,2.00846244449,0.0224165873485,1.66241307932
2008-11-18,185948.212941,101.068698537,1839.82,0.505343492667,0.0,BUY,185948.718285,-0.074173785052,1.85948718285,-0.074173971679,1.81138834096
2008-11-19,197403.339234,101.068698537,1953.16,0.505343492667,0.0,BUY,197403.844577,0.0616036851331,1.97403844577,0.0616038525508,1.69683707804
2008-11-20,195308.185113,101.068698537,1932.43,0.505343492667,0.0,BUY,195308.690456,-0.0106135426346,1.95308690456,-0.0106135698048,1.71778861925
2008-11-21,194125.68134,101.068698537,1920.73,0.505343492667,0.0,BUY,194126.186684,-0.00605453741006,1.94126186684,-0.00605455307566,1.72961365697
2008-11-24,185727.883179,101.068698537,1837.64,0.505343492667,0.0,BUY,185728.388522,-0.0432594813964,1.85728388522,-0.0432595940085,1.81359163859
2008-11-25,185389.303039,101.068698537,1834.29,0.505343492667,0.0,BUY,185389.808382,-0.00182298539707,1.85389808382,-0.0018229903572,1.81697743999
2008-11-26,186319.135065,101.068698537,1843.49,0.505343492667,0.0,BUY,186319.640409,0.00501555093374,1.86319640409,0.00501556460538,1.80767911972
2008-11-27,189045.968552,101.068698537,1870.47,0.505343492667,0.0,BUY,189046.473895,0.0146352444677,1.89046473895,0.0146352841621,1.78041078486
2008-11-28,0.0,0.0,1829.92,189046.473895,0.0,SELL,189046.473895,0.0,1.89046473895,-0.0216790432351,1.78041078486
2008-12-01,0.0,0.0,1864.2,189046.473895,0.0,SELL,189046.473895,0.0,1.89046473895,0.0187330593687,1.78041078486
2008-12-02,0.0,0.0,1868.63,189046.473895,0.0,SELL,189046.473895,0.0,1.89046473895,0.0023763544684,1.78041078486
2008-12-03,0.0,0.0,1952.67,189046.473895,0.0,SELL,189046.473895,0.0,1.89046473895,0.0449741254288,1.78041078486
2008-12-04,0.0,0.0,1982.93,189046.473895,0.0,SELL,189046.473895,0.0,1.89046473895,0.0154967301182,1.78041078486
2008-12-05,191929.656473,95.3370338687,2013.17,-0.190674067766,0.0,BUY,191929.465799,0.0152501754981,1.91929465799,0.0152501601166,1.75158086582
2008-12-08,199734.899436,95.3370338687,2095.04,-0.190674067766,0.0,BUY,199734.708762,0.0406672468468,1.99734708762,0.0406672064456,1.67352843619
2008-12-09,194568.585571,95.3370338687,2040.85,-0.190674067766,0.0,BUY,194568.394897,-0.0258658792824,1.94568394897,-0.0258658545899,1.72519157484
2008-12-10,199863.604432,95.3370338687,2096.39,-0.190674067766,0.0,BUY,199863.413758,0.027214177636,1.99863413758,0.0272141509665,1.67224138623
2008-12-11,195091.985887,95.3370338687,2046.34,-0.190674067766,0.0,BUY,195091.795213,-0.0238743972967,1.95091795213,-0.02387437452,1.71995757168
2008-12-12,186896.814455,95.3370338687,1960.38,-0.190674067766,0.0,BUY,186896.623781,-0.0420067457087,1.86896623781,-0.0420067046532,1.801909286
2008-12-15,188293.502002,95.3370338687,1975.03,-0.190674067766,0.0,BUY,188293.311328,0.00747304856512,1.88293311328,0.00747304094104,1.78794241053
2008-12-16,190144.947199,95.3370338687,1994.45,-0.190674067766,0.0,BUY,190144.756525,0.00983277199108,1.90144756525,0.00983276203399,1.76942795856
2008-12-17,190809.446325,95.3370338687,2001.42,-0.190674067766,0.0,BUY,190809.255651,0.00349470129078,1.90809255651,0.00349469778636,1.7627829673
2008-12-18,0.0,0.0,2045.1,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,0.0218245046017,1.7627829673
2008-12-19,0.0,0.0,2052.11,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,0.00342770524669,1.7627829673
2008-12-22,0.0,0.0,2017.55,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.0168412024697,1.7627829673
2008-12-23,0.0,0.0,1918.95,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.0488711556095,1.7627829673
2008-12-24,0.0,0.0,1887.08,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.0166080408557,1.7627829673
2008-12-25,0.0,0.0,1870.77,190809.255651,0.0,SELL,190809.255651,0.0,1.90809255651,-0.00864298280942,1.7627829673
